"","Country.of.Origin","Farm.Name","Mill","Company","Altitude","Region","Producer","Number.of.Bags","Bag.Weight","In.Country.Partner","Harvest.Year","Grading.Date","Owner","Variety","Processing.Method","Aroma","Flavor","Aftertaste","Acidity","Body","Balance","Uniformity","Clean.Cup","Sweetness","Overall","Total.Cup.Points","Moisture","Category.One.Defects","Quakers","Color","Category.Two.Defects","Farm.Region","Region.Country","Quality.Classification"
"949","Colombia",NA,"trilladora bonanza - armenia quindioa","Other",1880,"cauca",NA,250,"70 kg","Almacafé","2010","February 22nd, 2011","exportadora de cafe condor sa","Caturra","Other",7.75,7.33,7.42,7,7.33,7.25,10,10,10,7.33,81.42,0.16,0,0,NA,2,"NA-cauca","cauca-Colombia","Commodity"
"950","United States (Hawaii)","kona pacific farmers cooperative","kona pacific farmers cooperative","Other",518.16,"kona",NA,27,"0 lbs","Specialty Coffee Association","2010","May 24th, 2010","kona pacific farmers cooperative","Peaberry","Other",7.83,7,7,7.58,7.58,7.5,10,10,10,6.92,81.42,0.01,0,0,NA,10,"kona pacific farmers cooperative-kona","kona-United States (Hawaii)","Commodity"
"951","Colombia",NA,"bachue","racafe  cia sca",1750,"huila","la plata",230,"70 kg","Almacafé","2016","November 8th, 2016","racafe  cia sca","Caturra","Washed / Wet",7.5,7.33,7.33,7.17,7.33,7.42,10,10,10,7.25,81.33,0,0,0,NA,0,"NA-huila","huila-Colombia","Commodity"
"952","Honduras","las cuchillas","dry mill","cigrah sa de cv",1500,"comayagua","nahun maldonado",275,"69 kg","Instituto Hondureño del Café","2017","June 9th, 2016","bismarck castro","Caturra","Washed / Wet",7.5,7.5,7,7.17,7.5,7.33,10,10,10,7.33,81.33,0.11,0,2,"Bluish-Green",3,"las cuchillas-comayagua","comayagua-Honduras","Commodity"
"953","Mexico",NA,"ac la laja sa de cv","Other",1130,"veracruz","juan hermilo sampieri",220,"69 kg","Centro Agroecológico del Café A.C.","2016","February 25th, 2016","Other","Typica","Other",7.67,7.42,7,7.42,7.58,7.08,10,10,10,7.17,81.33,0.12,0,2,"Green",0,"NA-veracruz","veracruz-Mexico","Commodity"
"954","Brazil","fazenda sacramento","17/18","cafebras comércio de cafes do brasil",1100,"cerrado","nelson azevedo frança",300,"60 kg","Brazil Specialty Coffee Association","2016","November 20th, 2015","Other","Catuai","Natural / Dry",7.25,7.33,7.33,7.33,7.33,7.42,10,10,10,7.33,81.33,0.11,0,0,"Green",14,"fazenda sacramento-cerrado","cerrado-Brazil","Commodity"
"955","Honduras","bethel","cadexsa","cadexsa",1350,"marcala","jose omar acosta",275,"1 kg","Instituto Hondureño del Café","2015","May 22nd, 2015","cadexsa","Catuai","Washed / Wet",7.58,7.42,7.17,7.42,7.17,7.17,10,10,10,7.42,81.33,0.09,0,0,"Green",4,"bethel-marcala","marcala-Honduras","Specialty"
"956","Brazil","fazenda do sertao","carapina","exportadora de cafés carmo de minas ltda",1200,"mantiqueira de minas","nazareth dias pereira",300,"60 kg","Brazil Specialty Coffee Association","2015","December 16th, 2014","jacques pereira carneiro","Yellow Bourbon","Other",7.17,7.33,7.42,7.25,7.42,7.33,10,10,10,7.42,81.33,0.12,0,0,"Green",6,"fazenda do sertao-mantiqueira de minas","mantiqueira de minas-Brazil","Commodity"
"957","Philippines","bacofa","green beans","Other",1400,"davao city region 11","coffee for peaceinc",2,"2 kg","Specialty Coffee Association","2014","November 13th, 2014","Other","Other","Washed / Wet",7.08,7.33,7.42,7.33,7.33,7.5,10,10,10,7.33,81.33,0.14,0,0,"Green",3,"bacofa-davao city region 11","davao city region 11-Philippines","Commodity"
"958","Malawi","usingini farm","mzuzu coffee coop union","mzuzu coffee planters coop union",1200,"mzuzu","mzuzu coffee coop union",31,"60 kg","Africa Fine Coffee Association","2014","November 4th, 2014","afca","Gesha","Washed / Wet",7.75,7.33,7.08,7.33,7.33,7.25,10,10,10,7.25,81.33,0.13,0,0,"Green",1,"usingini farm-mzuzu","mzuzu-Malawi","Commodity"
